time_days,rainfall_mm_day,Tmax,Tmin,wind,RHmax,RHmin,soilcontent
1,0,19.1,5.4,4.387,84,56,0.32
2,0,15.3,6.8,3.57662,85,64,0.32
3,17,12.8,8.8,4.02697,76,64,0.32
4,12,11.8,7.6,3.09785,87,77,0.32
5,9,10.5,8.4,4.1481,92,77,0.32
6,7,15.2,8.3,3.13283,94,76,0.32
7,40,11.6,8.8,3.92961,97,74,0.32
8,0,14.6,6.2,3.19223,92,59,0.32
9,0,17.2,4.8,3.9807,93,62,0.32
10,3,16.4,6.2,3.34296,97,61,0.32
11,0,17.6,6.3,4.56816,94,53,0.32
12,0,14.4,7.8,2.48561,66,35,0.32
13,0,12.8,7.6,2.0329,58,45,0.32
14,0,14.2,8.3,3.06234,55,39,0.32
15,0,15.4,7.3,3.75704,69,43,0.32
16,0,17.6,3.8,3.39019,77,43,0.32
17,0,13.4,9,3.05593,96,48,0.32
18,0,14.8,9,2.33164,94,86,0.32
19,0,18.8,6.8,3.8515,96,77,0.32
20,0,19.3,5,2.42645,97,77,0.32
21,0,20.6,5.2,3.60694,97,68,0.32
22,0,19.8,8,2.7467,96,71,0.32
23,0,22.2,7.4,4.44681,97,67,0.32
24,1,18.8,7.6,2.00618,96,77,0.32
25,18,17.4,8.2,3.1435,97,81,0.32
26,12,15.8,8.4,1.72518,97,79,0.32
27,15,12.6,8.8,4.5639,94,89,0.32
28,5,16.2,6.5,3.21267,94,69,0.32
29,39,14.6,9.8,3.39523,92,82,0.32
30,7,16.1,9.8,1.0608,94,78,0.32
31,0,13.2,7.8,2.91783,88,46,0.32
32,0,12.8,0.2,2.45308,97,68,0.32
33,0,12,-0.1,4.11623,97,65,0.32
34,0,12.6,1,3.88616,97,70,0.32
35,2,12.6,7.5,2.45813,96,72,0.32
36,0,12.1,7.7,2.42551,95,83,0.32
37,0,19.2,4.1,1.8994,96,62,0.32
38,0,12.7,4.3,1.6931,96,76,0.32
39,0,16.8,7.4,2.39162,96,37,0.32
40,2,19.2,4.2,2.21881,78,45,0.32
41,0,19.1,8.4,2.34764,80,44,0.32
42,0,16.6,6,4.5819,76,32,0.32
43,4,16.6,3.4,2.67769,88,56,0.32
44,0,17.4,7.2,2.78231,92,54,0.32
45,37,15.6,8,2.00297,97,78,0.32
46,25,14.2,9.2,1.69395,97,89,0.32
47,0,13.8,7.8,2.7425,97,75,0.32
48,0,17.4,7.6,2.93904,97,72,0.32
49,0,20.2,9.2,1.12519,96,65,0.32
50,17,18.6,13.2,2.81783,87,70,0.32
51,22,17,11.7,2.16258,96,79,0.32
52,0,18,11.8,1.50172,96,65,0.32
53,3,17.1,9,2.43895,98,74,0.32
54,0,20.6,12,3.4247,94,66,0.32
55,4,20.4,8.2,2.63074,96,70,0.32
56,16,20,10.6,2.81627,94,63,0.32
57,15,16.6,11.2,2.07053,95,78,0.32
58,22,17,11.2,1.81858,95,79,0.32
59,12.5,14,10.4,2.19898,94,85,0.32
60,0,18.2,8.6,3.69592,96,62,0.32
61,0,19.2,8.7,2.9573,93,65,0.32
62,0,19.2,8.4,1.62504,95,66,0.32
63,4.5,19.6,8.1,2.79673,95,52,0.32
64,0,19.6,11.2,1.99219,95,60,0.32
65,0,18.2,10.6,2.46934,97,60,0.32
66,23,19.6,11,0.535999,98,53,0.32
67,27,17.3,10.8,1.69929,95,64,0.32
68,19,12.3,7.2,1.67852,95,74,0.32
69,15,11.8,6,2.31167,94,70,0.32
70,0,15.2,4.3,2.04901,94,46,0.32
71,0,15.8,3,2.35511,91,43,0.32
72,0,17.4,3.6,1.96471,90,41,0.32
73,0,18.8,5.4,3.18187,90,40,0.32
74,0,22.2,5.6,2.15386,83,40,0.32
75,0,22.4,6.3,0.202537,82,34,0.32
76,0,23.8,7,2.28067,80,37,0.32
77,0,25.8,8.8,2.45656,76,33,0.32
78,0,24.8,11.4,2.12017,85,33,0.32
79,0,22.8,10.4,2.26801,87,55,0.32
80,1,20.4,12.8,1.33155,95,73,0.32
81,16,19,12.4,3.29746,95,72,0.32
82,0,17.8,7.3,3.3601,96,55,0.32
83,10,14.2,7.2,1.43848,95,83,0.32
84,0,18,5.1,2.79856,95,63,0.32
85,0,19.4,6.4,2.41963,95,68,0.32
86,0,19.5,7.4,2.40974,95,67,0.32
87,0,19.2,9.4,0.900001,95,73,0.32
88,0,20.2,9.6,1.31929,94,69,0.32
89,0,21.4,9.8,1.46019,94,64,0.32
90,0,25.8,8.4,1.01906,92,49,0.32
91,0,27.8,14.8,2.66992,84,49,0.32
92,0,26.8,16.6,1.68015,87,52,0.32
93,0,25.6,11.4,1.80541,93,52,0.32
94,24,15.6,12.2,2.8171,93,80,0.32
95,0,17.6,11,2.40279,93,74,0.32
96,0,19.8,11.5,1.85632,91,66,0.32
97,0,21.4,11.6,3.23433,91,66,0.32
98,0,21.7,11.8,1.7932,89,63,0.32
99,1,19.8,13.6,2.77494,90,65,0.32
100,9.5,19.2,15.4,3.59145,88,77,0.32
101,4,19.8,14.4,2.97954,89,69,0.32
102,0,16.8,8.2,1.99329,84,46,0.32
103,0,18.2,5.2,1.3779,85,41,0.32
104,0,22.6,7.8,1.53651,86,39,0.32
